GeneID	Chromosome	Start	End
gene-AUO97_RS00420	NZ_CP018664.1	77621	78334
gene-AUO97_RS00425	NZ_CP018664.1	78331	79020
gene-AUO97_RS00430	NZ_CP018664.1	79112	79897
gene-AUO97_RS00435	NZ_CP018664.1	80072	81103
gene-AUO97_RS00440	NZ_CP018664.1	81301	82518
gene-AUO97_RS00445	NZ_CP018664.1	82525	85704
gene-AUO97_RS00450	NZ_CP018664.1	85717	87165
gene-AUO97_RS00455	NZ_CP018664.1	87206	88459
gene-AUO97_RS19300	NZ_CP018664.1	88520	88681
gene-AUO97_RS00460	NZ_CP018664.1	88705	89934
gene-AUO97_RS00465	NZ_CP018664.1	90184	90870
gene-AUO97_RS00470	NZ_CP018664.1	91015	91650
gene-AUO97_RS00475	NZ_CP018664.1	91750	91826
gene-AUO97_RS00480	NZ_CP018664.1	91944	92879
gene-AUO97_RS00485	NZ_CP018664.1	92876	93649
gene-AUO97_RS00490	NZ_CP018664.1	93646	94458
gene-AUO97_RS00495	NZ_CP018664.1	94482	95132
gene-AUO97_RS00500	NZ_CP018664.1	95261	96403
gene-AUO97_RS00505	NZ_CP018664.1	96423	97424
gene-AUO97_RS00510	NZ_CP018664.1	97715	98332
gene-AUO97_RS00515	NZ_CP018664.1	98889	99341
gene-AUO97_RS00520	NZ_CP018664.1	99382	99699
gene-AUO97_RS00525	NZ_CP018664.1	99701	100417
gene-AUO97_RS00530	NZ_CP018664.1	100512	101336
gene-AUO97_RS00535	NZ_CP018664.1	101434	101919
gene-AUO97_RS00540	NZ_CP018664.1	101985	102860
gene-AUO97_RS00545	NZ_CP018664.1	102998	103750
gene-AUO97_RS00550	NZ_CP018664.1	103960	104787
gene-AUO97_RS00555	NZ_CP018664.1	104992	106110
gene-AUO97_RS00560	NZ_CP018664.1	106523	107869
gene-AUO97_RS00565	NZ_CP018664.1	108044	109258
gene-AUO97_RS00570	NZ_CP018664.1	109502	110914
gene-AUO97_RS00575	NZ_CP018664.1	111111	112124
gene-AUO97_RS00580	NZ_CP018664.1	112408	114873
gene-AUO97_RS00585	NZ_CP018664.1	114977	115360
gene-AUO97_RS00590	NZ_CP018664.1	115399	115935
gene-AUO97_RS00595	NZ_CP018664.1	116157	117539
gene-AUO97_RS00600	NZ_CP018664.1	117611	118447
gene-AUO97_RS00605	NZ_CP018664.1	118466	119188
gene-AUO97_RS00610	NZ_CP018664.1	119323	122172
gene-AUO97_RS00615	NZ_CP018664.1	122409	124679
gene-AUO97_RS00620	NZ_CP018664.1	124771	126009
gene-AUO97_RS00625	NZ_CP018664.1	126059	127234
gene-AUO97_RS00630	NZ_CP018664.1	127428	128186
gene-AUO97_RS00635	NZ_CP018664.1	128332	128958
gene-AUO97_RS00640	NZ_CP018664.1	129105	129180
gene-AUO97_RS00645	NZ_CP018664.1	129189	129264
gene-AUO97_RS00650	NZ_CP018664.1	129443	129518
gene-AUO97_RS00655	NZ_CP018664.1	129575	130018
gene-AUO97_RS00660	NZ_CP018664.1	130028	130228
gene-AUO97_RS00665	NZ_CP018664.1	130340	131797
gene-AUO97_RS00670	NZ_CP018664.1	131908	132786
gene-AUO97_RS00675	NZ_CP018664.1	132783	133292
gene-AUO97_RS00680	NZ_CP018664.1	133418	134833
gene-AUO97_RS00685	NZ_CP018664.1	135568	137109
gene-AUO97_RS00690	NZ_CP018664.1	137106	138908
gene-AUO97_RS00695	NZ_CP018664.1	139204	139788
gene-AUO97_RS00700	NZ_CP018664.1	139885	142656
gene-AUO97_RS00705	NZ_CP018664.1	142664	145396
gene-AUO97_RS00710	NZ_CP018664.1	145752	146801
gene-AUO97_RS00715	NZ_CP018664.1	146811	147617
gene-AUO97_RS00720	NZ_CP018664.1	147627	148322
gene-AUO97_RS00725	NZ_CP018664.1	148333	149316
gene-AUO97_RS00730	NZ_CP018664.1	149323	151698
gene-AUO97_RS00735	NZ_CP018664.1	151700	153199
gene-AUO97_RS00740	NZ_CP018664.1	153462	154010
gene-AUO97_RS00745	NZ_CP018664.1	154172	155323
gene-AUO97_RS00750	NZ_CP018664.1	155391	157283
gene-AUO97_RS00760	NZ_CP018664.1	157965	158759
gene-AUO97_RS00765	NZ_CP018664.1	158766	159839
gene-AUO97_RS00770	NZ_CP018664.1	160139	161386
gene-AUO97_RS00775	NZ_CP018664.1	161507	162676
gene-AUO97_RS00780	NZ_CP018664.1	162801	163556
gene-AUO97_RS00785	NZ_CP018664.1	163567	164301
gene-AUO97_RS00790	NZ_CP018664.1	164374	165969
gene-AUO97_RS00795	NZ_CP018664.1	165966	167576
gene-AUO97_RS00800	NZ_CP018664.1	167822	168973
gene-AUO97_RS00805	NZ_CP018664.1	169091	169960
gene-AUO97_RS00810	NZ_CP018664.1	169978	171606
gene-AUO97_RS00815	NZ_CP018664.1	171768	174710
gene-AUO97_RS00820	NZ_CP018664.1	174758	176068
gene-AUO97_RS00825	NZ_CP018664.1	176138	178465
gene-AUO97_RS00830	NZ_CP018664.1	178551	179519
gene-AUO97_RS00835	NZ_CP018664.1	179526	180296
gene-AUO97_RS00840	NZ_CP018664.1	180293	181240
gene-AUO97_RS00845	NZ_CP018664.1	181240	182181
gene-AUO97_RS00850	NZ_CP018664.1	182813	184840
gene-AUO97_RS00855	NZ_CP018664.1	184911	186758
gene-AUO97_RS00860	NZ_CP018664.1	187151	188011
gene-AUO97_RS00865	NZ_CP018664.1	188008	188631
gene-AUO97_RS00870	NZ_CP018664.1	188885	189853
gene-AUO97_RS00875	NZ_CP018664.1	190098	190784
gene-AUO97_RS19535	NZ_CP018664.1	190819	191058
gene-AUO97_RS00880	NZ_CP018664.1	191220	191783
gene-AUO97_RS00890	NZ_CP018664.1	192605	193633
gene-AUO97_RS00895	NZ_CP018664.1	193658	194173
gene-AUO97_RS00900	NZ_CP018664.1	194475	195878
gene-AUO97_RS00910	NZ_CP018664.1	196317	197336
gene-AUO97_RS00915	NZ_CP018664.1	197501	198541
gene-AUO97_RS00920	NZ_CP018664.1	198564	199511
gene-AUO97_RS00925	NZ_CP018664.1	199520	200440
gene-AUO97_RS00930	NZ_CP018664.1	200496	202001
gene-AUO97_RS00935	NZ_CP018664.1	202071	202994
gene-AUO97_RS00940	NZ_CP018664.1	203243	204163
gene-AUO97_RS00945	NZ_CP018664.1	204346	205026
gene-AUO97_RS00950	NZ_CP018664.1	205088	205918
gene-AUO97_RS00955	NZ_CP018664.1	205961	206953
gene-AUO97_RS00960	NZ_CP018664.1	206953	207972
gene-AUO97_RS00965	NZ_CP018664.1	208211	209095
gene-AUO97_RS00970	NZ_CP018664.1	209125	209991
gene-AUO97_RS00980	NZ_CP018664.1	213775	213851
gene-AUO97_RS00985	NZ_CP018664.1	214020	214322
gene-AUO97_RS00990	NZ_CP018664.1	214325	216421
gene-AUO97_RS00995	NZ_CP018664.1	216588	217157
gene-AUO97_RS01000	NZ_CP018664.1	217231	218247
gene-AUO97_RS01010	NZ_CP018664.1	220005	222113
gene-AUO97_RS01015	NZ_CP018664.1	222176	222400
gene-AUO97_RS01020	NZ_CP018664.1	222594	223565
gene-AUO97_RS01025	NZ_CP018664.1	223699	224100
gene-AUO97_RS01030	NZ_CP018664.1	224103	226292
gene-AUO97_RS01035	NZ_CP018664.1	226459	229077
gene-AUO97_RS01040	NZ_CP018664.1	229135	230064
gene-AUO97_RS01045	NZ_CP018664.1	230166	230996
gene-AUO97_RS01050	NZ_CP018664.1	231111	231878
gene-AUO97_RS01055	NZ_CP018664.1	231981	232352
gene-AUO97_RS01060	NZ_CP018664.1	232500	232922
gene-AUO97_RS01065	NZ_CP018664.1	233049	234197
gene-AUO97_RS01070	NZ_CP018664.1	234297	234842
gene-AUO97_RS01075	NZ_CP018664.1	234962	235450
gene-AUO97_RS01080	NZ_CP018664.1	235455	236588
gene-AUO97_RS01085	NZ_CP018664.1	236602	237336
gene-AUO97_RS01090	NZ_CP018664.1	237391	238779
gene-AUO97_RS01095	NZ_CP018664.1	238862	239503
gene-AUO97_RS01100	NZ_CP018664.1	239551	241740
gene-AUO97_RS01105	NZ_CP018664.1	242016	242978
gene-AUO97_RS01110	NZ_CP018664.1	243125	244027
gene-AUO97_RS01115	NZ_CP018664.1	244041	245438
gene-AUO97_RS01120	NZ_CP018664.1	245435	246814
gene-AUO97_RS01125	NZ_CP018664.1	246915	247946
gene-AUO97_RS01130	NZ_CP018664.1	248402	249781
gene-AUO97_RS01135	NZ_CP018664.1	249922	251643
gene-AUO97_RS01140	NZ_CP018664.1	251778	252263
gene-AUO97_RS01145	NZ_CP018664.1	252335	253765
gene-AUO97_RS01150	NZ_CP018664.1	254042	255574
gene-AUO97_RS01155	NZ_CP018664.1	255577	256950
gene-AUO97_RS01160	NZ_CP018664.1	257418	258119
gene-AUO97_RS01165	NZ_CP018664.1	258238	259134
gene-AUO97_RS01170	NZ_CP018664.1	259254	259829
gene-AUO97_RS01175	NZ_CP018664.1	259896	260990
gene-AUO97_RS01180	NZ_CP018664.1	261003	262073
gene-AUO97_RS01185	NZ_CP018664.1	262214	262909
gene-AUO97_RS01190	NZ_CP018664.1	263076	264092
gene-AUO97_RS01195	NZ_CP018664.1	264148	266985
gene-AUO97_RS01200	NZ_CP018664.1	267130	267768
gene-AUO97_RS01205	NZ_CP018664.1	267901	268605
gene-AUO97_RS01210	NZ_CP018664.1	268667	269965
gene-AUO97_RS01215	NZ_CP018664.1	270008	270619
gene-AUO97_RS01220	NZ_CP018664.1	270735	271118
gene-AUO97_RS01225	NZ_CP018664.1	271284	272747
gene-AUO97_RS01230	NZ_CP018664.1	272783	273415
gene-AUO97_RS01235	NZ_CP018664.1	273519	273902
gene-AUO97_RS01240	NZ_CP018664.1	273960	276722
gene-AUO97_RS01245	NZ_CP018664.1	276845	277660
gene-AUO97_RS01250	NZ_CP018664.1	277809	279203
gene-AUO97_RS01255	NZ_CP018664.1	279401	280282
gene-AUO97_RS01260	NZ_CP018664.1	280379	281557
gene-AUO97_RS19315	NZ_CP018664.1	281554	281679
gene-AUO97_RS01265	NZ_CP018664.1	281906	282316
gene-AUO97_RS01270	NZ_CP018664.1	282317	282808
gene-AUO97_RS01275	NZ_CP018664.1	282909	284165
gene-AUO97_RS01280	NZ_CP018664.1	284366	285154
gene-AUO97_RS01285	NZ_CP018664.1	285272	287509
gene-AUO97_RS01290	NZ_CP018664.1	287910	289613
gene-AUO97_RS01295	NZ_CP018664.1	289786	291105
gene-AUO97_RS01300	NZ_CP018664.1	291205	292491
gene-AUO97_RS01305	NZ_CP018664.1	292627	293109
gene-AUO97_RS01310	NZ_CP018664.1	293213	294655
gene-AUO97_RS01315	NZ_CP018664.1	294849	295589
gene-AUO97_RS01320	NZ_CP018664.1	295589	296485
gene-AUO97_RS01325	NZ_CP018664.1	296472	297722
gene-AUO97_RS01330	NZ_CP018664.1	297723	299567
gene-AUO97_RS01335	NZ_CP018664.1	299545	300450
gene-AUO97_RS01345	NZ_CP018664.1	301599	302819
gene-AUO97_RS01350	NZ_CP018664.1	303072	303773
gene-AUO97_RS01355	NZ_CP018664.1	303885	304931
gene-AUO97_RS01360	NZ_CP018664.1	304975	306000
gene-AUO97_RS01365	NZ_CP018664.1	306084	307292
gene-AUO97_RS01370	NZ_CP018664.1	307259	307915
gene-AUO97_RS01375	NZ_CP018664.1	307942	309075
gene-AUO97_RS01380	NZ_CP018664.1	309091	310311
gene-AUO97_RS01385	NZ_CP018664.1	310528	311202
gene-AUO97_RS01390	NZ_CP018664.1	311214	311948
gene-AUO97_RS01395	NZ_CP018664.1	312098	313555
gene-AUO97_RS01400	NZ_CP018664.1	313772	314719
gene-AUO97_RS01405	NZ_CP018664.1	314828	315415
gene-AUO97_RS01410	NZ_CP018664.1	315509	317530
gene-AUO97_RS01415	NZ_CP018664.1	317710	318501
gene-AUO97_RS01420	NZ_CP018664.1	318670	320106
gene-AUO97_RS01425	NZ_CP018664.1	320141	320320
gene-AUO97_RS01430	NZ_CP018664.1	320528	321757
gene-AUO97_RS01435	NZ_CP018664.1	321980	323941
gene-AUO97_RS01440	NZ_CP018664.1	323993	325693
gene-AUO97_RS01445	NZ_CP018664.1	326058	326468
gene-AUO97_RS01450	NZ_CP018664.1	326654	327091
gene-AUO97_RS01455	NZ_CP018664.1	327106	327534
gene-AUO97_RS19320	NZ_CP018664.1	327576	327710
gene-AUO97_RS01460	NZ_CP018664.1	327769	327844
gene-AUO97_RS01465	NZ_CP018664.1	328028	328786
gene-AUO97_RS01470	NZ_CP018664.1	329080	329724
gene-AUO97_RS01475	NZ_CP018664.1	329731	330456
gene-AUO97_RS01480	NZ_CP018664.1	330470	331183
gene-AUO97_RS01485	NZ_CP018664.1	331193	331393
gene-AUO97_RS01490	NZ_CP018664.1	331412	332434
gene-AUO97_RS01495	NZ_CP018664.1	332446	333138
gene-AUO97_RS01500	NZ_CP018664.1	333110	333484
gene-AUO97_RS01505	NZ_CP018664.1	333508	334335
gene-AUO97_RS01510	NZ_CP018664.1	334406	336223
gene-AUO97_RS01515	NZ_CP018664.1	336407	336955
gene-AUO97_RS01520	NZ_CP018664.1	336969	337424
gene-AUO97_RS01525	NZ_CP018664.1	337545	338921
gene-AUO97_RS01530	NZ_CP018664.1	339152	340795
gene-AUO97_RS01535	NZ_CP018664.1	340849	341265
gene-AUO97_RS01540	NZ_CP018664.1	341404	342003
gene-AUO97_RS01545	NZ_CP018664.1	342013	343083
gene-AUO97_RS01550	NZ_CP018664.1	343085	343897
gene-AUO97_RS01555	NZ_CP018664.1	344161	345168
gene-AUO97_RS01560	NZ_CP018664.1	345199	345807
gene-AUO97_RS01565	NZ_CP018664.1	345888	346721
gene-AUO97_RS01570	NZ_CP018664.1	346718	347602
gene-AUO97_RS01575	NZ_CP018664.1	347614	348675
gene-AUO97_RS01580	NZ_CP018664.1	348747	349670
gene-AUO97_RS01585	NZ_CP018664.1	349762	350490
gene-AUO97_RS01590	NZ_CP018664.1	350785	351606
gene-AUO97_RS01595	NZ_CP018664.1	351685	352395
gene-AUO97_RS01600	NZ_CP018664.1	352436	353107
gene-AUO97_RS01605	NZ_CP018664.1	353121	353537
gene-AUO97_RS01610	NZ_CP018664.1	353628	354314
gene-AUO97_RS01615	NZ_CP018664.1	354332	354793
gene-AUO97_RS01620	NZ_CP018664.1	354919	355488
gene-AUO97_RS01625	NZ_CP018664.1	355559	356149
gene-AUO97_RS01630	NZ_CP018664.1	356259	357059
gene-AUO97_RS01635	NZ_CP018664.1	357056	357373
gene-AUO97_RS01645	NZ_CP018664.1	358056	358865
gene-AUO97_RS01650	NZ_CP018664.1	358849	360939
gene-AUO97_RS01655	NZ_CP018664.1	360933	362585
gene-AUO97_RS01665	NZ_CP018664.1	363505	364437
gene-AUO97_RS01675	NZ_CP018664.1	365168	366754
gene-AUO97_RS01695	NZ_CP018664.1	367877	368296
gene-AUO97_RS01700	NZ_CP018664.1	368468	368806
gene-AUO97_RS01705	NZ_CP018664.1	369080	370228
gene-AUO97_RS01710	NZ_CP018664.1	370237	371502
gene-AUO97_RS01715	NZ_CP018664.1	371506	373623
gene-AUO97_RS01720	NZ_CP018664.1	373827	375182
gene-AUO97_RS01725	NZ_CP018664.1	375201	376325
gene-AUO97_RS01730	NZ_CP018664.1	376377	377600
gene-AUO97_RS01735	NZ_CP018664.1	377645	379852
gene-AUO97_RS01740	NZ_CP018664.1	380075	380836
gene-AUO97_RS01745	NZ_CP018664.1	380851	381720
gene-AUO97_RS01760	NZ_CP018664.1	382754	383380
gene-AUO97_RS01765	NZ_CP018664.1	383462	384622
gene-AUO97_RS01770	NZ_CP018664.1	384632	385972
gene-AUO97_RS01775	NZ_CP018664.1	385986	387605
gene-AUO97_RS01780	NZ_CP018664.1	387617	390832
gene-AUO97_RS01785	NZ_CP018664.1	390845	394081
gene-AUO97_RS01790	NZ_CP018664.1	394085	396595
gene-AUO97_RS01795	NZ_CP018664.1	396603	397394
gene-AUO97_RS01800	NZ_CP018664.1	397431	398060
gene-AUO97_RS01805	NZ_CP018664.1	398152	399327
gene-AUO97_RS01810	NZ_CP018664.1	399704	400630
gene-AUO97_RS01825	NZ_CP018664.1	402350	402925
gene-AUO97_RS01835	NZ_CP018664.1	404201	408034
gene-AUO97_RS01840	NZ_CP018664.1	408344	409684
gene-AUO97_RS01845	NZ_CP018664.1	409776	410375
gene-AUO97_RS01850	NZ_CP018664.1	410384	411388
gene-AUO97_RS01855	NZ_CP018664.1	411593	412927
gene-AUO97_RS01860	NZ_CP018664.1	413138	413545
gene-AUO97_RS01865	NZ_CP018664.1	413569	414267
gene-AUO97_RS01870	NZ_CP018664.1	414267	414719
gene-AUO97_RS01875	NZ_CP018664.1	414723	416126
gene-AUO97_RS01880	NZ_CP018664.1	416220	417500
gene-AUO97_RS01885	NZ_CP018664.1	417528	418091
gene-AUO97_RS01890	NZ_CP018664.1	418146	418334
gene-AUO97_RS01895	NZ_CP018664.1	418517	419488
gene-AUO97_RS01900	NZ_CP018664.1	419545	420321
gene-AUO97_RS01905	NZ_CP018664.1	420481	421095
gene-AUO97_RS01910	NZ_CP018664.1	421085	421405
gene-AUO97_RS01915	NZ_CP018664.1	421395	421784
gene-AUO97_RS01920	NZ_CP018664.1	421874	424321
gene-AUO97_RS01925	NZ_CP018664.1	424336	426189
gene-AUO97_RS01930	NZ_CP018664.1	426507	427205
gene-AUO97_RS01935	NZ_CP018664.1	427226	428419
gene-AUO97_RS01940	NZ_CP018664.1	428555	429625
gene-AUO97_RS01945	NZ_CP018664.1	429622	430251
gene-AUO97_RS01950	NZ_CP018664.1	430315	431124
gene-AUO97_RS01955	NZ_CP018664.1	431143	432159
gene-AUO97_RS01960	NZ_CP018664.1	432292	433275
gene-AUO97_RS01965	NZ_CP018664.1	433228	435660
gene-AUO97_RS01970	NZ_CP018664.1	435746	436432
gene-AUO97_RS01975	NZ_CP018664.1	436425	437660
gene-AUO97_RS01980	NZ_CP018664.1	437908	438816
gene-AUO97_RS01985	NZ_CP018664.1	438827	439312
gene-AUO97_RS01990	NZ_CP018664.1	439569	440510
gene-AUO97_RS19540	NZ_CP018664.1	440544	440690
gene-AUO97_RS01995	NZ_CP018664.1	440748	441827
gene-AUO97_RS02000	NZ_CP018664.1	442207	443694
gene-AUO97_RS02005	NZ_CP018664.1	443707	444828
gene-AUO97_RS02010	NZ_CP018664.1	444892	445962
gene-AUO97_RS02015	NZ_CP018664.1	445959	447050
gene-AUO97_RS02020	NZ_CP018664.1	447315	448109
gene-AUO97_RS02025	NZ_CP018664.1	448106	449086
gene-AUO97_RS02030	NZ_CP018664.1	449086	449466
gene-AUO97_RS02035	NZ_CP018664.1	449476	451122
gene-AUO97_RS02040	NZ_CP018664.1	451173	453887
gene-AUO97_RS02045	NZ_CP018664.1	454253	455185
gene-AUO97_RS02050	NZ_CP018664.1	455203	455952
gene-AUO97_RS02055	NZ_CP018664.1	456389	457276
gene-AUO97_RS02060	NZ_CP018664.1	457439	458062
gene-AUO97_RS02065	NZ_CP018664.1	458149	458994
gene-AUO97_RS02070	NZ_CP018664.1	459000	460250
gene-AUO97_RS02075	NZ_CP018664.1	460273	460497
gene-AUO97_RS02080	NZ_CP018664.1	460638	462044
gene-AUO97_RS02085	NZ_CP018664.1	462534	463922
gene-AUO97_RS02090	NZ_CP018664.1	464005	464985
gene-AUO97_RS02095	NZ_CP018664.1	465044	466018
gene-AUO97_RS02100	NZ_CP018664.1	466015	467082
gene-AUO97_RS02105	NZ_CP018664.1	467187	467579
gene-AUO97_RS02110	NZ_CP018664.1	467699	468490
gene-AUO97_RS02115	NZ_CP018664.1	468569	470977
gene-AUO97_RS02120	NZ_CP018664.1	471372	472529
gene-AUO97_RS02125	NZ_CP018664.1	472526	473092
gene-AUO97_RS02130	NZ_CP018664.1	473215	473997
gene-AUO97_RS02135	NZ_CP018664.1	474035	474640
gene-AUO97_RS02140	NZ_CP018664.1	474755	475372
gene-AUO97_RS02145	NZ_CP018664.1	475481	476344
gene-AUO97_RS02150	NZ_CP018664.1	476424	477002
gene-AUO97_RS02160	NZ_CP018664.1	477731	478336
gene-AUO97_RS02165	NZ_CP018664.1	478512	478820
gene-AUO97_RS02170	NZ_CP018664.1	479025	479534
gene-AUO97_RS02175	NZ_CP018664.1	479534	480391
gene-AUO97_RS02180	NZ_CP018664.1	480391	480831
gene-AUO97_RS02185	NZ_CP018664.1	481009	481749
gene-AUO97_RS02190	NZ_CP018664.1	481887	482306
gene-AUO97_RS02195	NZ_CP018664.1	482585	482842
gene-AUO97_RS02200	NZ_CP018664.1	482876	483382
gene-AUO97_RS02205	NZ_CP018664.1	483452	487450
gene-AUO97_RS02210	NZ_CP018664.1	488057	488587
gene-AUO97_RS02215	NZ_CP018664.1	488667	488756
gene-AUO97_RS02220	NZ_CP018664.1	488846	489340
gene-AUO97_RS02225	NZ_CP018664.1	489713	490825
gene-AUO97_RS02230	NZ_CP018664.1	490917	491300
gene-AUO97_RS02235	NZ_CP018664.1	491507	492412
gene-AUO97_RS02245	NZ_CP018664.1	492916	493779
gene-AUO97_RS02250	NZ_CP018664.1	494037	494942
gene-AUO97_RS02255	NZ_CP018664.1	494993	495568
gene-AUO97_RS02260	NZ_CP018664.1	495641	498736
gene-AUO97_RS02265	NZ_CP018664.1	499000	500142
gene-AUO97_RS02270	NZ_CP018664.1	500186	501148
gene-AUO97_RS02275	NZ_CP018664.1	501255	501629
gene-AUO97_RS02280	NZ_CP018664.1	501804	503438
gene-AUO97_RS02285	NZ_CP018664.1	503497	503787
gene-AUO97_RS02290	NZ_CP018664.1	503973	504731
gene-AUO97_RS02295	NZ_CP018664.1	504712	505650
gene-AUO97_RS02300	NZ_CP018664.1	506042	507874
gene-AUO97_RS02305	NZ_CP018664.1	507916	509433
gene-AUO97_RS02310	NZ_CP018664.1	509588	511096
gene-AUO97_RS02315	NZ_CP018664.1	511471	512802
gene-AUO97_RS02320	NZ_CP018664.1	512919	513341
gene-AUO97_RS02325	NZ_CP018664.1	513364	514032
gene-AUO97_RS02330	NZ_CP018664.1	514273	515121
gene-AUO97_RS02335	NZ_CP018664.1	515274	515347
gene-AUO97_RS02340	NZ_CP018664.1	515359	515444
gene-AUO97_RS02345	NZ_CP018664.1	515545	517308
gene-AUO97_RS02350	NZ_CP018664.1	517505	517590
gene-AUO97_RS02355	NZ_CP018664.1	517666	518010
gene-AUO97_RS02360	NZ_CP018664.1	518011	518325
gene-AUO97_RS02365	NZ_CP018664.1	518460	519311
gene-AUO97_RS02370	NZ_CP018664.1	519443	521338
gene-AUO97_RS02375	NZ_CP018664.1	521473	522123
gene-AUO97_RS02380	NZ_CP018664.1	522323	522646
gene-AUO97_RS02385	NZ_CP018664.1	522661	523197
gene-AUO97_RS02390	NZ_CP018664.1	523256	523843
gene-AUO97_RS02400	NZ_CP018664.1	524156	525295
gene-AUO97_RS02405	NZ_CP018664.1	525310	528540
gene-AUO97_RS02410	NZ_CP018664.1	528628	529104
gene-AUO97_RS02415	NZ_CP018664.1	529185	529772
