GeneID	GenedbRef	GeneName	Locus_tag	Start	End
gene-AUO97_RS00275	Gene	rtcA	AUO97_RS00275	46515	47561
gene-AUO97_RS00280	Gene	AUO97_RS00280	AUO97_RS00280	47597	49057
gene-AUO97_RS00285	Gene	AUO97_RS00285	AUO97_RS00285	49228	49611
gene-AUO97_RS00290	Gene	AUO97_RS00290	AUO97_RS00290	49739	51985
gene-AUO97_RS00295	Gene	pheA	AUO97_RS00295	52094	53203
gene-AUO97_RS00300	Gene	AUO97_RS00300	AUO97_RS00300	53389	54333
gene-AUO97_RS00305	Gene	AUO97_RS00305	AUO97_RS00305	54377	55522
gene-AUO97_RS00310	Gene	AUO97_RS00310	AUO97_RS00310	55686	57044
gene-AUO97_RS00320	Gene	AUO97_RS00320	AUO97_RS00320	57543	58556
gene-AUO97_RS00325	Gene	AUO97_RS00325	AUO97_RS00325	58758	59030
gene-AUO97_RS00330	Gene	AUO97_RS00330	AUO97_RS00330	59027	59935
gene-AUO97_RS00335	Gene	mrcB	AUO97_RS00335	60121	62517
gene-AUO97_RS00340	Gene	AUO97_RS00340	AUO97_RS00340	62538	63089
gene-AUO97_RS00345	Gene	AUO97_RS00345	AUO97_RS00345	63111	64010
gene-AUO97_RS00350	Gene	AUO97_RS00350	AUO97_RS00350	64147	64317
gene-AUO97_RS00355	Gene	AUO97_RS00355	AUO97_RS00355	64383	65741
gene-AUO97_RS00360	Gene	AUO97_RS00360	AUO97_RS00360	65738	66400
gene-AUO97_RS00365	Gene	AUO97_RS00365	AUO97_RS00365	66508	66867
gene-AUO97_RS00370	Gene	tadA	AUO97_RS00370	66949	68706
gene-AUO97_RS00375	Gene	AUO97_RS00375	AUO97_RS00375	68994	70262
gene-AUO97_RS00380	Gene	tsaA	AUO97_RS00380	70272	71000
gene-AUO97_RS00385	Gene	AUO97_RS00385	AUO97_RS00385	71105	71884
gene-AUO97_RS00390	Gene	AUO97_RS00390	AUO97_RS00390	71939	72808
gene-AUO97_RS00395	Gene	AUO97_RS00395	AUO97_RS00395	73038	74504
gene-AUO97_RS00400	Gene	yegQ	AUO97_RS00400	74561	75931
gene-AUO97_RS00405	Gene	AUO97_RS00405	AUO97_RS00405	75934	76197
gene-AUO97_RS00410	Gene	abeS	AUO97_RS00410	76433	76762
gene-AUO97_RS00415	Gene	AUO97_RS00415	AUO97_RS00415	76835	77611
gene-AUO97_RS00420	Gene	AUO97_RS00420	AUO97_RS00420	77621	78334
gene-AUO97_RS00425	Gene	hisQ	AUO97_RS00425	78331	79020
gene-AUO97_RS00430	Gene	AUO97_RS00430	AUO97_RS00430	79112	79897
gene-AUO97_RS00435	Gene	adeL	AUO97_RS00435	80072	81103
gene-AUO97_RS00440	Gene	adeF	AUO97_RS00440	81301	82518
gene-AUO97_RS00445	Gene	adeG	AUO97_RS00445	82525	85704
gene-AUO97_RS00450	Gene	adeH	AUO97_RS00450	85717	87165
gene-AUO97_RS00455	Gene	AUO97_RS00455	AUO97_RS00455	87206	88459
gene-AUO97_RS19300	Gene	AUO97_RS19300	AUO97_RS19300	88520	88681
gene-AUO97_RS00460	Gene	AUO97_RS00460	AUO97_RS00460	88705	89934
gene-AUO97_RS00465	Gene	AUO97_RS00465	AUO97_RS00465	90184	90870
gene-AUO97_RS00470	Gene	AUO97_RS00470	AUO97_RS00470	91015	91650
gene-AUO97_RS00475	Gene	AUO97_RS00475	AUO97_RS00475	91750	91826
gene-AUO97_RS00480	Gene	AUO97_RS00480	AUO97_RS00480	91944	92879
gene-AUO97_RS00485	Gene	AUO97_RS00485	AUO97_RS00485	92876	93649
gene-AUO97_RS00490	Gene	queF	AUO97_RS00490	93646	94458
gene-AUO97_RS00495	Gene	AUO97_RS00495	AUO97_RS00495	94482	95132
gene-AUO97_RS00500	Gene	rodA	AUO97_RS00500	95261	96403
gene-AUO97_RS00505	Gene	mltB	AUO97_RS00505	96423	97424
gene-AUO97_RS00510	Gene	AUO97_RS00510	AUO97_RS00510	97715	98332
gene-AUO97_RS00515	Gene	AUO97_RS00515	AUO97_RS00515	98889	99341
gene-AUO97_RS00520	Gene	AUO97_RS00520	AUO97_RS00520	99382	99699
gene-AUO97_RS00525	Gene	AUO97_RS00525	AUO97_RS00525	99701	100417
gene-AUO97_RS00530	Gene	AUO97_RS00530	AUO97_RS00530	100512	101336
gene-AUO97_RS00535	Gene	AUO97_RS00535	AUO97_RS00535	101434	101919
gene-AUO97_RS00540	Gene	AUO97_RS00540	AUO97_RS00540	101985	102860
gene-AUO97_RS00545	Gene	rpsB	AUO97_RS00545	102998	103750
gene-AUO97_RS00550	Gene	map	AUO97_RS00550	103960	104787
gene-AUO97_RS00555	Gene	AUO97_RS00555	AUO97_RS00555	104992	106110
gene-AUO97_RS00560	Gene	AUO97_RS00560	AUO97_RS00560	106523	107869
gene-AUO97_RS00565	Gene	AUO97_RS00565	AUO97_RS00565	108044	109258
gene-AUO97_RS00570	Gene	sthA	AUO97_RS00570	109502	110914
gene-AUO97_RS00575	Gene	lipA	AUO97_RS00575	111111	112124
gene-AUO97_RS00580	Gene	AUO97_RS00580	AUO97_RS00580	112408	114873
gene-AUO97_RS00585	Gene	AUO97_RS00585	AUO97_RS00585	114977	115360
gene-AUO97_RS00590	Gene	AUO97_RS00590	AUO97_RS00590	115399	115935
gene-AUO97_RS00595	Gene	AUO97_RS00595	AUO97_RS00595	116157	117539
gene-AUO97_RS00600	Gene	metF	AUO97_RS00600	117611	118447
gene-AUO97_RS00605	Gene	AUO97_RS00605	AUO97_RS00605	118466	119188
gene-AUO97_RS00610	Gene	AUO97_RS00610	AUO97_RS00610	119323	122172
gene-AUO97_RS00615	Gene	AUO97_RS00615	AUO97_RS00615	122409	124679
gene-AUO97_RS00620	Gene	AUO97_RS00620	AUO97_RS00620	124771	126009
gene-AUO97_RS00625	Gene	AUO97_RS00625	AUO97_RS00625	126059	127234
gene-AUO97_RS00630	Gene	AUO97_RS00630	AUO97_RS00630	127428	128186
gene-AUO97_RS00635	Gene	AUO97_RS00635	AUO97_RS00635	128332	128958
gene-AUO97_RS00640	Gene	AUO97_RS00640	AUO97_RS00640	129105	129180
gene-AUO97_RS00645	Gene	AUO97_RS00645	AUO97_RS00645	129189	129264
gene-AUO97_RS00650	Gene	AUO97_RS00650	AUO97_RS00650	129443	129518
gene-AUO97_RS00655	Gene	AUO97_RS00655	AUO97_RS00655	129575	130018
gene-AUO97_RS00660	Gene	AUO97_RS00660	AUO97_RS00660	130028	130228
gene-AUO97_RS00665	Gene	AUO97_RS00665	AUO97_RS00665	130340	131797
gene-AUO97_RS00670	Gene	ubiA	AUO97_RS00670	131908	132786
gene-AUO97_RS00675	Gene	AUO97_RS00675	AUO97_RS00675	132783	133292
gene-AUO97_RS00680	Gene	glnA	AUO97_RS00680	133418	134833
gene-AUO97_RS00685	Gene	AUO97_RS00685	AUO97_RS00685	135568	137109
gene-AUO97_RS00690	Gene	AUO97_RS00690	AUO97_RS00690	137106	138908
gene-AUO97_RS00695	Gene	AUO97_RS00695	AUO97_RS00695	139204	139788
gene-AUO97_RS00700	Gene	AUO97_RS00700	AUO97_RS00700	139885	142656
gene-AUO97_RS00705	Gene	AUO97_RS00705	AUO97_RS00705	142664	145396
gene-AUO97_RS00710	Gene	trpD	AUO97_RS00710	145752	146801
gene-AUO97_RS00715	Gene	trpC	AUO97_RS00715	146811	147617
gene-AUO97_RS00720	Gene	AUO97_RS00720	AUO97_RS00720	147627	148322
gene-AUO97_RS00725	Gene	xdhC	AUO97_RS00725	148333	149316
gene-AUO97_RS00730	Gene	xdhB	AUO97_RS00730	149323	151698
gene-AUO97_RS00735	Gene	xdhA	AUO97_RS00735	151700	153199
gene-AUO97_RS00740	Gene	folE	AUO97_RS00740	153462	154010
gene-AUO97_RS00745	Gene	AUO97_RS00745	AUO97_RS00745	154172	155323
gene-AUO97_RS00750	Gene	AUO97_RS00750	AUO97_RS00750	155391	157283
gene-AUO97_RS00760	Gene	AUO97_RS00760	AUO97_RS00760	157965	158759
gene-AUO97_RS00765	Gene	AUO97_RS00765	AUO97_RS00765	158766	159839
gene-AUO97_RS00770	Gene	AUO97_RS00770	AUO97_RS00770	160139	161386
gene-AUO97_RS00775	Gene	basJ	AUO97_RS00775	161507	162676
gene-AUO97_RS00780	Gene	basI	AUO97_RS00780	162801	163556
gene-AUO97_RS00785	Gene	basH	AUO97_RS00785	163567	164301
gene-AUO97_RS00790	Gene	barB	AUO97_RS00790	164374	165969
gene-AUO97_RS00795	Gene	barA	AUO97_RS00795	165966	167576
gene-AUO97_RS00800	Gene	basG	AUO97_RS00800	167822	168973
gene-AUO97_RS00805	Gene	basF	AUO97_RS00805	169091	169960
gene-AUO97_RS00810	Gene	basE	AUO97_RS00810	169978	171606
gene-AUO97_RS00815	Gene	basD	AUO97_RS00815	171768	174710
gene-AUO97_RS00820	Gene	basC	AUO97_RS00820	174758	176068
gene-AUO97_RS00825	Gene	AUO97_RS00825	AUO97_RS00825	176138	178465
gene-AUO97_RS00830	Gene	bauB	AUO97_RS00830	178551	179519
gene-AUO97_RS00835	Gene	bauE	AUO97_RS00835	179526	180296
gene-AUO97_RS00840	Gene	bauC	AUO97_RS00840	180293	181240
gene-AUO97_RS00845	Gene	bauD	AUO97_RS00845	181240	182181
gene-AUO97_RS00850	Gene	basB	AUO97_RS00850	182813	184840
gene-AUO97_RS00855	Gene	basA	AUO97_RS00855	184911	186758
gene-AUO97_RS00860	Gene	bauF	AUO97_RS00860	187151	188011
gene-AUO97_RS00865	Gene	AUO97_RS00865	AUO97_RS00865	188008	188631
gene-AUO97_RS00870	Gene	AUO97_RS00870	AUO97_RS00870	188885	189853
gene-AUO97_RS00875	Gene	AUO97_RS00875	AUO97_RS00875	190098	190784
gene-AUO97_RS19535	Gene	AUO97_RS19535	AUO97_RS19535	190819	191058
gene-AUO97_RS00880	Gene	AUO97_RS00880	AUO97_RS00880	191220	191783
gene-AUO97_RS00890	Gene	AUO97_RS00890	AUO97_RS00890	192605	193633
gene-AUO97_RS00895	Gene	AUO97_RS00895	AUO97_RS00895	193658	194173
gene-AUO97_RS00900	Gene	AUO97_RS00900	AUO97_RS00900	194475	195878
gene-AUO97_RS00910	Gene	AUO97_RS00910	AUO97_RS00910	196317	197336
gene-AUO97_RS00915	Gene	AUO97_RS00915	AUO97_RS00915	197501	198541
gene-AUO97_RS00920	Gene	AUO97_RS00920	AUO97_RS00920	198564	199511
gene-AUO97_RS00925	Gene	AUO97_RS00925	AUO97_RS00925	199520	200440
gene-AUO97_RS00930	Gene	AUO97_RS00930	AUO97_RS00930	200496	202001
gene-AUO97_RS00935	Gene	AUO97_RS00935	AUO97_RS00935	202071	202994
gene-AUO97_RS00940	Gene	AUO97_RS00940	AUO97_RS00940	203243	204163
gene-AUO97_RS00945	Gene	AUO97_RS00945	AUO97_RS00945	204346	205026
gene-AUO97_RS00950	Gene	AUO97_RS00950	AUO97_RS00950	205088	205918
gene-AUO97_RS00955	Gene	AUO97_RS00955	AUO97_RS00955	205961	206953
gene-AUO97_RS00960	Gene	AUO97_RS00960	AUO97_RS00960	206953	207972
gene-AUO97_RS00965	Gene	AUO97_RS00965	AUO97_RS00965	208211	209095
gene-AUO97_RS00970	Gene	AUO97_RS00970	AUO97_RS00970	209125	209991
gene-AUO97_RS00980	Gene	AUO97_RS00980	AUO97_RS00980	213775	213851
gene-AUO97_RS00985	Gene	AUO97_RS00985	AUO97_RS00985	214020	214322
gene-AUO97_RS00990	Gene	AUO97_RS00990	AUO97_RS00990	214325	216421
gene-AUO97_RS00995	Gene	efp	AUO97_RS00995	216588	217157
gene-AUO97_RS01000	Gene	epmB	AUO97_RS01000	217231	218247
gene-AUO97_RS01010	Gene	AUO97_RS01010	AUO97_RS01010	220005	222113
gene-AUO97_RS01015	Gene	rpmE	AUO97_RS01015	222176	222400
gene-AUO97_RS01020	Gene	AUO97_RS01020	AUO97_RS01020	222594	223565
gene-AUO97_RS01025	Gene	gloA	AUO97_RS01025	223699	224100
gene-AUO97_RS01030	Gene	AUO97_RS01030	AUO97_RS01030	224103	226292
gene-AUO97_RS01035	Gene	AUO97_RS01035	AUO97_RS01035	226459	229077
gene-AUO97_RS01040	Gene	AUO97_RS01040	AUO97_RS01040	229135	230064
gene-AUO97_RS01045	Gene	AUO97_RS01045	AUO97_RS01045	230166	230996
gene-AUO97_RS01050	Gene	surE	AUO97_RS01050	231111	231878
gene-AUO97_RS01055	Gene	AUO97_RS01055	AUO97_RS01055	231981	232352
gene-AUO97_RS01060	Gene	AUO97_RS01060	AUO97_RS01060	232500	232922
gene-AUO97_RS01065	Gene	dacC	AUO97_RS01065	233049	234197
gene-AUO97_RS01070	Gene	AUO97_RS01070	AUO97_RS01070	234297	234842
gene-AUO97_RS01075	Gene	AUO97_RS01075	AUO97_RS01075	234962	235450
gene-AUO97_RS01080	Gene	mnmA	AUO97_RS01080	235455	236588
gene-AUO97_RS01085	Gene	hflD	AUO97_RS01085	236602	237336
gene-AUO97_RS01090	Gene	purB	AUO97_RS01090	237391	238779
gene-AUO97_RS01095	Gene	AUO97_RS01095	AUO97_RS01095	238862	239503
gene-AUO97_RS01100	Gene	AUO97_RS01100	AUO97_RS01100	239551	241740
gene-AUO97_RS01105	Gene	sohB	AUO97_RS01105	242016	242978
gene-AUO97_RS01110	Gene	AUO97_RS01110	AUO97_RS01110	243125	244027
gene-AUO97_RS01115	Gene	pstA	AUO97_RS01115	244041	245438
gene-AUO97_RS01120	Gene	pstC	AUO97_RS01120	245435	246814
gene-AUO97_RS01125	Gene	AUO97_RS01125	AUO97_RS01125	246915	247946
gene-AUO97_RS01130	Gene	AUO97_RS01130	AUO97_RS01130	248402	249781
gene-AUO97_RS01135	Gene	AUO97_RS01135	AUO97_RS01135	249922	251643
gene-AUO97_RS01140	Gene	AUO97_RS01140	AUO97_RS01140	251778	252263
gene-AUO97_RS01145	Gene	AUO97_RS01145	AUO97_RS01145	252335	253765
gene-AUO97_RS01150	Gene	AUO97_RS01150	AUO97_RS01150	254042	255574
gene-AUO97_RS01155	Gene	AUO97_RS01155	AUO97_RS01155	255577	256950
gene-AUO97_RS01160	Gene	AUO97_RS01160	AUO97_RS01160	257418	258119
gene-AUO97_RS01165	Gene	AUO97_RS01165	AUO97_RS01165	258238	259134
gene-AUO97_RS01170	Gene	AUO97_RS01170	AUO97_RS01170	259254	259829
gene-AUO97_RS01175	Gene	AUO97_RS01175	AUO97_RS01175	259896	260990
gene-AUO97_RS01180	Gene	AUO97_RS01180	AUO97_RS01180	261003	262073
gene-AUO97_RS01185	Gene	fabR	AUO97_RS01185	262214	262909
gene-AUO97_RS01190	Gene	AUO97_RS01190	AUO97_RS01190	263076	264092
gene-AUO97_RS01195	Gene	rapA	AUO97_RS01195	264148	266985
gene-AUO97_RS01200	Gene	AUO97_RS01200	AUO97_RS01200	267130	267768
gene-AUO97_RS01205	Gene	AUO97_RS01205	AUO97_RS01205	267901	268605
gene-AUO97_RS01210	Gene	hemL	AUO97_RS01210	268667	269965
gene-AUO97_RS01215	Gene	AUO97_RS01215	AUO97_RS01215	270008	270619
gene-AUO97_RS01220	Gene	AUO97_RS01220	AUO97_RS01220	270735	271118
gene-AUO97_RS01225	Gene	AUO97_RS01225	AUO97_RS01225	271284	272747
gene-AUO97_RS01230	Gene	AUO97_RS01230	AUO97_RS01230	272783	273415
gene-AUO97_RS01235	Gene	AUO97_RS01235	AUO97_RS01235	273519	273902
gene-AUO97_RS01240	Gene	AUO97_RS01240	AUO97_RS01240	273960	276722
gene-AUO97_RS01245	Gene	AUO97_RS01245	AUO97_RS01245	276845	277660
gene-AUO97_RS01250	Gene	AUO97_RS01250	AUO97_RS01250	277809	279203
gene-AUO97_RS01255	Gene	AUO97_RS01255	AUO97_RS01255	279401	280282
gene-AUO97_RS01260	Gene	AUO97_RS01260	AUO97_RS01260	280379	281557
gene-AUO97_RS19315	Gene	AUO97_RS19315	AUO97_RS19315	281554	281679
gene-AUO97_RS01265	Gene	AUO97_RS01265	AUO97_RS01265	281906	282316
gene-AUO97_RS01270	Gene	AUO97_RS01270	AUO97_RS01270	282317	282808
gene-AUO97_RS01275	Gene	icd	AUO97_RS01275	282909	284165
gene-AUO97_RS01280	Gene	AUO97_RS01280	AUO97_RS01280	284366	285154
gene-AUO97_RS01285	Gene	AUO97_RS01285	AUO97_RS01285	285272	287509
gene-AUO97_RS01290	Gene	AUO97_RS01290	AUO97_RS01290	287910	289613
gene-AUO97_RS01295	Gene	AUO97_RS01295	AUO97_RS01295	289786	291105
gene-AUO97_RS01300	Gene	AUO97_RS01300	AUO97_RS01300	291205	292491
gene-AUO97_RS01305	Gene	AUO97_RS01305	AUO97_RS01305	292627	293109
gene-AUO97_RS01310	Gene	AUO97_RS01310	AUO97_RS01310	293213	294655
gene-AUO97_RS01315	Gene	AUO97_RS01315	AUO97_RS01315	294849	295589
gene-AUO97_RS01320	Gene	AUO97_RS01320	AUO97_RS01320	295589	296485
gene-AUO97_RS01325	Gene	AUO97_RS01325	AUO97_RS01325	296472	297722
gene-AUO97_RS01330	Gene	AUO97_RS01330	AUO97_RS01330	297723	299567
gene-AUO97_RS01335	Gene	AUO97_RS01335	AUO97_RS01335	299545	300450
gene-AUO97_RS01345	Gene	AUO97_RS01345	AUO97_RS01345	301599	302819
gene-AUO97_RS01350	Gene	AUO97_RS01350	AUO97_RS01350	303072	303773
gene-AUO97_RS01355	Gene	AUO97_RS01355	AUO97_RS01355	303885	304931
gene-AUO97_RS01360	Gene	dusB	AUO97_RS01360	304975	306000
gene-AUO97_RS01365	Gene	AUO97_RS01365	AUO97_RS01365	306084	307292
gene-AUO97_RS01370	Gene	AUO97_RS01370	AUO97_RS01370	307259	307915
gene-AUO97_RS01375	Gene	AUO97_RS01375	AUO97_RS01375	307942	309075
gene-AUO97_RS01380	Gene	cgtA	AUO97_RS01380	309091	310311
gene-AUO97_RS01385	Gene	AUO97_RS01385	AUO97_RS01385	310528	311202
gene-AUO97_RS01390	Gene	AUO97_RS01390	AUO97_RS01390	311214	311948
gene-AUO97_RS01395	Gene	AUO97_RS01395	AUO97_RS01395	312098	313555
gene-AUO97_RS01400	Gene	rarD	AUO97_RS01400	313772	314719
gene-AUO97_RS01405	Gene	AUO97_RS01405	AUO97_RS01405	314828	315415
gene-AUO97_RS01410	Gene	uvrB	AUO97_RS01410	315509	317530
gene-AUO97_RS01415	Gene	AUO97_RS01415	AUO97_RS01415	317710	318501
gene-AUO97_RS01420	Gene	AUO97_RS01420	AUO97_RS01420	318670	320106
gene-AUO97_RS01425	Gene	AUO97_RS01425	AUO97_RS01425	320141	320320
gene-AUO97_RS01430	Gene	AUO97_RS01430	AUO97_RS01430	320528	321757
gene-AUO97_RS01435	Gene	AUO97_RS01435	AUO97_RS01435	321980	323941
gene-AUO97_RS01440	Gene	AUO97_RS01440	AUO97_RS01440	323993	325693
gene-AUO97_RS01445	Gene	AUO97_RS01445	AUO97_RS01445	326058	326468
gene-AUO97_RS01450	Gene	AUO97_RS01450	AUO97_RS01450	326654	327091
gene-AUO97_RS01455	Gene	AUO97_RS01455	AUO97_RS01455	327106	327534
gene-AUO97_RS19320	Gene	AUO97_RS19320	AUO97_RS19320	327576	327710
gene-AUO97_RS01460	Gene	AUO97_RS01460	AUO97_RS01460	327769	327844
gene-AUO97_RS01465	Gene	AUO97_RS01465	AUO97_RS01465	328028	328786
gene-AUO97_RS01470	Gene	AUO97_RS01470	AUO97_RS01470	329080	329724
gene-AUO97_RS01475	Gene	pdxJ	AUO97_RS01475	329731	330456
gene-AUO97_RS01480	Gene	recO	AUO97_RS01480	330470	331183
gene-AUO97_RS01485	Gene	AUO97_RS01485	AUO97_RS01485	331193	331393
gene-AUO97_RS01490	Gene	era	AUO97_RS01490	331412	332434
gene-AUO97_RS01495	Gene	rnc	AUO97_RS01495	332446	333138
gene-AUO97_RS01500	Gene	AUO97_RS01500	AUO97_RS01500	333110	333484
gene-AUO97_RS01505	Gene	lepB	AUO97_RS01505	333508	334335
gene-AUO97_RS01510	Gene	lepA	AUO97_RS01510	334406	336223
gene-AUO97_RS01515	Gene	AUO97_RS01515	AUO97_RS01515	336407	336955
gene-AUO97_RS01520	Gene	AUO97_RS01520	AUO97_RS01520	336969	337424
gene-AUO97_RS01525	Gene	AUO97_RS01525	AUO97_RS01525	337545	338921
gene-AUO97_RS01530	Gene	nadB	AUO97_RS01530	339152	340795
gene-AUO97_RS01535	Gene	AUO97_RS01535	AUO97_RS01535	340849	341265
gene-AUO97_RS01540	Gene	AUO97_RS01540	AUO97_RS01540	341404	342003
gene-AUO97_RS01545	Gene	mltG	AUO97_RS01545	342013	343083
gene-AUO97_RS01550	Gene	pabC	AUO97_RS01550	343085	343897
gene-AUO97_RS01555	Gene	AUO97_RS01555	AUO97_RS01555	344161	345168
gene-AUO97_RS01560	Gene	AUO97_RS01560	AUO97_RS01560	345199	345807
gene-AUO97_RS01565	Gene	cysT	AUO97_RS01565	345888	346721
gene-AUO97_RS01570	Gene	cysW	AUO97_RS01570	346718	347602
gene-AUO97_RS01575	Gene	AUO97_RS01575	AUO97_RS01575	347614	348675
gene-AUO97_RS01580	Gene	AUO97_RS01580	AUO97_RS01580	348747	349670
gene-AUO97_RS01585	Gene	carO	AUO97_RS01585	349762	350490
gene-AUO97_RS01590	Gene	dapD	AUO97_RS01590	350785	351606
gene-AUO97_RS01595	Gene	queE	AUO97_RS01595	351685	352395
gene-AUO97_RS01600	Gene	queC	AUO97_RS01600	352436	353107
gene-AUO97_RS01605	Gene	AUO97_RS01605	AUO97_RS01605	353121	353537
gene-AUO97_RS01610	Gene	AUO97_RS01610	AUO97_RS01610	353628	354314
gene-AUO97_RS01615	Gene	AUO97_RS01615	AUO97_RS01615	354332	354793
gene-AUO97_RS01620	Gene	AUO97_RS01620	AUO97_RS01620	354919	355488
gene-AUO97_RS01625	Gene	AUO97_RS01625	AUO97_RS01625	355559	356149
gene-AUO97_RS01630	Gene	AUO97_RS01630	AUO97_RS01630	356259	357059
gene-AUO97_RS01635	Gene	AUO97_RS01635	AUO97_RS01635	357056	357373
gene-AUO97_RS01645	Gene	AUO97_RS01645	AUO97_RS01645	358056	358865
gene-AUO97_RS01650	Gene	AUO97_RS01650	AUO97_RS01650	358849	360939
gene-AUO97_RS01655	Gene	AUO97_RS01655	AUO97_RS01655	360933	362585
gene-AUO97_RS01665	Gene	AUO97_RS01665	AUO97_RS01665	363505	364437
gene-AUO97_RS01675	Gene	AUO97_RS01675	AUO97_RS01675	365168	366754
gene-AUO97_RS01695	Gene	AUO97_RS01695	AUO97_RS01695	367877	368296
gene-AUO97_RS01700	Gene	AUO97_RS01700	AUO97_RS01700	368468	368806
gene-AUO97_RS01705	Gene	AUO97_RS01705	AUO97_RS01705	369080	370228
gene-AUO97_RS01710	Gene	AUO97_RS01710	AUO97_RS01710	370237	371502
gene-AUO97_RS01715	Gene	AUO97_RS01715	AUO97_RS01715	371506	373623
gene-AUO97_RS01720	Gene	AUO97_RS01720	AUO97_RS01720	373827	375182
gene-AUO97_RS01725	Gene	AUO97_RS01725	AUO97_RS01725	375201	376325
gene-AUO97_RS01730	Gene	AUO97_RS01730	AUO97_RS01730	376377	377600
gene-AUO97_RS01735	Gene	AUO97_RS01735	AUO97_RS01735	377645	379852
